2,0,5,14,7,3,13,8,1,2,7,4
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,14,7,3,13,8,6,2,7,13
2,0,5,14,7,3,13,8,6,2,7,13
11,14,10,4,10,1,2,5,10,1,1,14
11,7,10,4,10,10,5,5,10,1,1,14
2,0,12,13,5,12,9,7,1,2,7,4
6,3,2,2,7,3,13,8,6,3,13,0
0,1,4,9,11,0,0,0,0,10,0,9
11,7,10,4,10,10,5,14,10,1,1,14
2,0,5,13,7,3,13,8,6,2,7,13
0,1,9,5,8,6,11,6,8,7,0,2
10,9,4,1,6,8,8,9,13,5,3,1
1,12,6,8,1,2,4,4,2,6,4,7
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,0,1,2,5,10,1,1,5
11,7,10,4,10,1,2,5,10,1,1,14
12,12,6,11,12,11,10,10,2,12,12,11
0,9,4,9,6,0,6,0,0,14,9,9
0,1,9,5,8,6,11,6,8,7,0,2
6,3,12,14,7,3,13,8,6,2,2,4
11,7,10,4,10,10,5,5,10,1,1,14
2,0,5,13,5,12,14,13,1,2,2,4
5,10,3,0,2,4,3,12,7,8,6,8
2,0,12,2,13,5,9,7,1,3,2,0
2,0,5,14,7,3,13,8,6,2,7,13
8,14,10,4,0,1,2,11,5,1,1,5
4,5,1,1,6,0,6,0,8,14,3,1
5,4,3,0,2,4,3,1,7,8,6,8
10,9,4,9,6,0,6,0,13,14,9,9
0,1,9,5,8,6,0,6,0,10,0,2
2,0,5,13,5,12,14,13,1,2,2,4
2,0,5,13,5,12,9,13,1,3,2,4
0,1,9,5,8,6,11,6,8,7,0,2
1,12,6,8,1,2,4,4,2,6,4,7
2,0,5,14,7,3,13,13,6,2,7,4
0,1,9,5,11,0,0,6,0,10,0,2
12,12,6,11,12,11,10,10,2,12,12,11
0,1,9,5,8,6,11,6,8,7,0,2
12,12,6,11,12,11,10,10,2,6,12,11
8,14,0,12,0,1,2,5,5,1,1,5
0,1,4,9,11,0,0,0,0,10,0,2
2,0,5,14,7,3,14,8,6,2,7,13
2,0,12,13,5,12,14,13,1,2,7,4
4,5,1,1,6,0,11,6,0,10,9,1
11,7,10,4,10,1,2,5,10,1,1,14
2,0,5,13,5,12,14,8,1,3,2,4
2,0,5,13,5,12,14,13,1,2,2,4
10,5,4,9,6,0,6,0,13,10,9,9
12,12,6,11,12,11,10,10,2,12,12,11
12,12,6,11,12,11,10,10,2,12,12,11
0,1,9,5,8,6,11,6,8,7,0,2
2,0,2,2,13,12,14,13,1,13,10,0
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,8,6,11,6,8,7,0,2
6,3,2,2,5,5,14,7,1,3,13,0
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
2,0,12,13,5,12,9,7,1,3,2,4
5,10,3,0,2,4,3,12,7,8,6,8
11,7,10,4,10,10,2,5,5,1,1,5
11,7,10,4,0,1,5,5,10,1,1,5
11,7,10,4,10,10,5,5,10,1,1,14
12,12,6,11,12,11,10,10,2,12,12,11
2,0,5,13,7,3,13,8,6,2,7,13
11,7,10,4,10,1,2,5,5,1,1,14
0,1,9,5,8,6,11,6,8,7,0,2
6,3,12,2,5,5,14,8,1,3,13,4
2,0,12,13,5,12,14,13,1,2,2,4
10,5,4,9,6,8,8,9,13,5,3,1
11,7,10,4,10,10,5,14,10,1,1,14
1,6,6,8,1,2,4,4,12,6,4,7
1,6,6,11,1,11,10,10,2,6,4,7
0,1,4,5,11,0,0,0,0,10,0,2
12,12,6,11,12,11,10,10,2,12,12,11
1,6,6,8,1,2,4,4,12,6,4,7
2,0,5,14,7,3,13,8,6,2,7,4
2,0,5,14,7,3,14,13,6,2,2,13
8,14,0,12,0,1,2,11,5,4,1,5
2,0,5,14,7,3,13,8,6,2,7,13
2,0,5,14,7,3,14,13,6,2,7,13
1,12,6,8,1,2,4,10,2,6,12,11
11,7,10,4,10,10,5,5,10,1,1,14
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,14,7,3,13,8,6,2,7,13
2,0,5,13,5,12,14,13,1,2,2,4
11,7,10,4,10,10,5,5,10,1,1,5
10,5,4,9,6,0,6,0,0,10,0,2
11,7,10,4,10,10,5,14,10,1,1,14
8,14,10,4,0,1,2,11,5,4,1,5
2,0,5,14,7,3,13,8,1,2,2,4
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
0,1,4,9,11,0,0,0,0,10,0,2
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,8,6,11,6,8,7,0,2
11,14,10,4,0,1,2,11,5,1,1,5
0,1,9,5,8,0,0,0,0,10,0,2
0,1,9,5,8,6,11,6,8,7,0,2
10,9,4,9,8,6,0,6,0,10,0,2
2,0,5,13,5,12,9,7,1,2,2,4
1,12,6,11,1,11,4,10,2,6,12,11
1,12,6,11,12,11,10,10,2,12,12,11
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,0,1,2,5,5,1,1,5
0,1,9,5,8,6,11,6,8,7,0,2
1,6,11,8,1,2,4,4,12,6,4,7
2,0,5,14,5,3,14,8,6,2,7,4
2,0,5,14,7,3,13,8,6,2,7,13
12,12,6,11,12,11,10,10,2,12,12,11
12,12,6,8,1,2,4,4,2,6,12,11
0,1,4,9,6,0,0,0,8,10,0,2
11,7,10,4,10,10,5,14,10,1,1,14
5,10,3,0,2,4,3,12,7,8,6,8
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,14,7,3,13,8,6,2,7,13
0,9,4,5,8,6,0,6,0,10,0,9
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,8,6,0,6,0,10,0,2
0,1,9,5,8,6,11,6,8,7,0,2
1,6,11,8,1,2,10,4,12,6,4,7
8,14,10,4,0,10,2,5,5,1,1,14
2,0,5,14,7,3,13,8,6,2,7,13
1,6,6,8,1,2,4,4,12,6,4,7
5,4,8,0,2,4,3,12,7,8,5,6
6,3,2,2,5,5,9,7,1,3,13,0
11,7,10,4,0,1,5,14,5,1,1,5
10,9,4,9,8,6,0,6,0,10,0,9
0,1,9,5,8,6,11,6,8,7,0,2
12,12,6,11,12,11,10,10,2,12,12,11
11,7,10,4,0,1,5,5,5,1,1,5
10,5,4,9,8,6,11,6,8,7,9,9
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,1,5,5,10,1,1,14
6,0,12,2,5,5,9,7,1,3,2,0
2,0,5,13,5,12,14,8,6,2,7,4
5,10,3,0,2,4,3,1,7,8,6,8
0,1,9,5,8,6,11,6,8,7,0,2
0,9,4,9,11,0,6,0,0,10,0,9
11,7,10,4,0,1,2,5,10,1,1,5
11,7,10,4,10,10,5,14,10,1,1,14
2,0,12,2,5,5,9,7,1,3,2,4
12,12,6,11,1,11,10,10,2,6,12,11
12,12,6,11,1,11,10,10,2,6,12,11
10,9,4,9,11,0,6,0,0,10,9,9
0,1,9,5,8,6,11,6,8,7,0,2
2,0,12,13,5,12,9,7,1,3,2,4
2,0,5,13,5,12,14,13,1,2,2,4
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,5,5,10,1,1,14
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,2,5,10,1,1,5
2,0,5,13,5,12,9,13,1,2,2,4
12,12,6,8,12,11,10,10,2,6,4,11
11,7,10,4,10,1,5,5,10,1,1,14
12,12,6,11,12,11,10,10,2,12,12,11
2,0,5,14,7,3,13,8,6,2,7,13
2,0,5,14,7,3,13,8,6,2,7,13
8,14,10,4,0,1,2,5,5,1,1,5
2,0,5,14,7,3,14,8,6,2,7,4
0,9,4,9,11,0,0,0,0,10,9,9
11,7,10,4,10,10,5,5,10,1,1,14
0,1,4,1,6,0,6,0,0,10,0,2
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,14,5,3,14,8,6,2,2,4
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,11,6,8,7,0,2
0,1,4,9,11,0,0,0,0,10,0,2
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
2,0,12,13,5,12,13,13,6,2,2,4
5,10,3,0,2,4,3,1,7,8,6,8
1,12,6,11,1,11,10,10,2,6,12,11
0,1,4,9,11,0,0,0,0,10,0,2
11,7,10,4,10,10,5,5,10,1,1,14
6,3,2,2,13,5,1,7,1,3,13,0
10,9,4,9,11,0,6,0,13,14,9,9
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,1,5,5,5,1,1,5
12,12,6,11,12,11,10,10,2,6,12,11
0,1,9,5,11,0,0,6,0,10,0,1
2,0,5,14,7,3,13,8,6,2,7,13
12,12,6,11,12,11,10,10,2,6,12,11
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,11,6,0,10,0,2
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,14,7,3,13,8,6,2,7,13
0,9,4,9,8,0,0,0,0,10,0,2
4,5,1,1,14,8,8,9,3,5,3,1
12,12,6,11,12,11,10,10,2,12,12,11
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
6,3,12,2,5,5,1,2,1,3,13,0
0,1,4,5,11,0,0,0,0,10,0,2
2,0,12,2,5,12,14,13,1,3,2,4
11,7,10,4,10,10,5,14,10,1,1,14
2,0,5,14,7,3,13,8,6,2,7,4
11,7,10,4,10,1,5,5,5,1,1,14
5,10,3,0,2,4,3,12,7,8,6,8
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
6,0,12,13,5,12,9,13,1,3,2,13
2,0,5,14,7,3,13,8,6,2,7,13
10,9,4,9,11,0,0,0,13,14,9,9
8,14,10,4,0,1,2,5,5,4,1,5
1,6,6,8,1,2,4,4,2,6,4,7
11,7,10,4,10,10,5,14,10,1,1,14
2,0,5,14,7,3,13,8,6,2,7,13
2,0,5,13,7,12,13,8,6,2,7,4
2,0,12,13,5,3,13,8,6,2,2,4
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,0,1,2,5,5,1,1,5
12,12,6,8,12,11,10,10,2,6,12,11
5,10,3,0,2,4,3,12,7,8,6,8
11,7,10,4,10,10,2,5,10,1,1,14
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,8,6,0,6,0,7,0,2
2,0,5,14,7,3,13,8,6,2,7,13
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,11,6,0,10,9,2
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,13,7,3,14,8,6,2,7,4
5,10,3,0,2,4,3,1,11,0,6,6
2,0,5,14,7,3,13,8,6,2,7,13
10,9,4,9,11,0,6,0,0,14,9,9
0,1,4,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
1,12,6,8,1,2,4,10,2,6,12,11
11,7,10,4,0,1,5,5,5,1,1,5
2,0,5,13,7,3,14,13,6,2,2,4
0,1,9,5,8,6,11,6,8,10,0,2
1,12,6,8,1,2,4,10,2,6,4,11
11,7,10,4,10,10,5,14,10,1,1,14
11,7,10,4,10,10,5,14,10,1,1,14
11,7,10,4,10,10,5,14,10,1,1,14
12,12,6,11,12,11,10,10,2,12,12,11
0,1,4,5,11,0,0,6,0,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
10,5,4,9,6,0,6,0,13,14,9,2
0,1,9,5,11,0,11,6,0,10,0,2
2,0,5,14,7,3,13,8,6,2,7,13
11,7,10,4,10,10,5,5,10,1,1,14
1,6,6,8,1,2,4,4,2,6,4,7
11,7,10,4,10,10,5,14,10,1,1,14
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,1,5,5,5,1,1,5
2,0,5,13,5,12,9,13,1,3,2,4
0,1,9,5,8,6,0,6,0,10,0,2
2,0,5,13,7,12,9,7,1,3,7,4
0,1,9,5,11,0,0,6,0,10,0,2
11,7,10,4,0,1,5,5,5,1,1,5
1,6,6,8,1,11,10,10,2,6,4,7
1,6,6,8,1,2,4,4,12,6,12,7
1,12,6,8,1,2,4,4,12,6,12,11
11,7,10,4,10,10,5,14,10,1,1,14
12,12,6,11,12,11,10,10,2,12,12,11
11,7,10,4,0,1,5,5,5,1,1,14
11,7,10,4,10,10,5,14,10,1,1,14
11,7,10,4,10,10,5,14,10,1,1,14
2,0,5,14,7,3,13,8,6,2,7,13
0,1,4,5,8,6,11,6,0,7,0,2
2,0,5,13,5,12,9,7,1,2,2,4
12,12,6,8,12,11,10,10,2,6,12,11
4,5,1,1,14,0,6,0,3,5,3,1
6,3,2,2,5,12,9,7,1,3,13,0
12,12,6,11,12,11,10,10,2,12,12,11
0,1,9,5,8,6,11,6,8,7,0,2
0,9,4,5,11,0,0,0,0,10,0,9
12,12,6,11,12,11,10,10,2,12,12,11
2,0,5,14,7,3,13,8,6,2,7,13
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,8,6,11,6,8,7,0,2
8,14,0,12,0,1,2,11,5,4,1,5
10,9,4,9,11,0,6,0,0,10,0,9
2,0,12,13,5,12,14,8,1,3,2,4
5,10,3,0,2,4,3,1,7,8,6,8
2,0,5,13,5,12,14,13,1,2,7,13
2,0,5,13,5,12,9,7,1,3,2,4
0,9,4,9,11,0,6,0,13,10,0,9
0,1,4,9,11,0,11,0,0,10,0,2
11,7,10,4,10,10,5,5,10,1,1,14
0,1,9,5,8,0,11,6,8,7,0,2
11,7,10,12,0,1,2,5,5,4,1,5
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,0,10,0,2
2,0,5,13,5,12,14,13,6,2,2,4
0,1,9,5,11,0,0,6,0,10,0,2
0,1,9,5,8,6,11,6,8,7,0,2
2,0,12,13,5,12,9,7,1,3,13,4
11,7,10,4,10,10,5,14,10,1,1,14
5,10,3,0,2,4,3,12,7,8,6,8
0,1,9,5,8,6,11,6,8,7,0,2
6,3,12,2,5,5,9,7,1,3,13,4
11,7,10,4,10,10,5,5,10,1,1,14
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,13,7,3,14,13,6,2,7,4
0,1,9,5,11,6,11,6,0,7,0,2
6,3,2,2,5,12,9,13,1,2,7,4
0,1,9,5,8,6,0,6,8,7,0,2
11,7,10,4,0,1,2,5,5,1,1,5
11,7,10,4,0,1,5,5,5,1,1,5
1,6,6,8,1,2,4,4,2,6,4,7
0,1,9,5,8,6,11,6,8,7,0,2
10,9,4,9,11,0,6,0,13,14,9,9
5,10,3,0,2,4,3,1,7,8,6,8
8,14,0,12,0,1,2,11,5,4,1,5
0,1,9,5,8,0,0,6,8,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,11,6,8,7,0,2
5,10,3,0,2,4,3,12,7,8,6,8
11,7,10,4,0,1,5,5,5,1,1,5
2,0,5,14,7,3,13,8,6,2,7,13
11,7,10,4,10,10,5,5,10,1,1,14
5,10,3,0,2,4,3,12,7,8,6,8
0,1,9,5,11,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,10,0,2
0,1,9,5,8,6,0,6,0,10,0,2
2,0,5,14,7,3,13,8,6,2,7,4
2,0,12,2,5,12,14,13,1,2,2,4
5,10,3,0,2,4,3,12,7,8,6,8
8,14,10,4,0,1,2,11,5,1,1,5
5,4,3,0,9,9,3,1,9,0,5,6
0,1,9,5,11,0,0,0,0,10,0,2
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,14,5,12,9,7,1,3,2,13
10,9,4,9,8,6,11,6,8,10,0,9
0,9,4,9,11,0,6,0,0,10,0,9
0,5,4,9,6,0,6,0,0,10,9,2
4,5,1,1,14,8,8,9,3,5,3,1
2,0,12,13,5,12,14,13,1,2,2,4
2,0,5,14,7,3,13,8,6,2,7,13
11,7,10,4,10,10,5,14,10,1,1,14
10,5,1,1,11,0,8,9,13,10,9,9
0,1,9,5,8,6,11,6,8,7,0,2
0,1,4,9,11,0,0,0,0,10,0,2
11,7,10,4,0,1,5,5,5,1,1,5
11,7,10,4,10,10,5,14,10,1,1,14
12,12,6,11,12,11,10,10,2,12,12,11
2,0,5,13,5,12,9,13,1,2,2,0
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,11,0,0,0,0,10,0,2
11,7,10,4,10,10,5,14,10,1,1,14
2,0,5,13,5,12,14,13,1,2,2,4
11,7,10,4,10,10,5,5,10,1,1,14
0,1,9,5,11,0,0,6,0,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
2,0,5,14,5,12,14,13,1,2,2,13
2,0,5,14,5,12,14,8,6,2,7,13
11,7,10,4,0,10,5,5,10,1,1,14
1,12,6,8,1,2,4,4,2,6,4,11
11,7,10,4,10,10,5,14,10,1,1,14
1,12,6,11,12,11,10,10,2,6,4,11
11,7,10,4,10,10,5,14,10,1,1,14
2,0,5,13,7,3,13,13,6,2,7,13
8,14,0,12,0,1,2,11,5,4,1,5
11,7,10,4,10,10,5,14,10,1,1,14
11,7,10,4,10,10,5,14,10,1,1,14
2,0,12,13,5,12,13,8,1,3,13,4
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,8,6,11,6,8,7,0,2
0,1,4,5,11,0,0,6,0,10,0,2
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,8,6,11,6,0,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
11,7,10,4,0,1,5,5,5,1,1,5
11,7,10,4,0,1,2,5,10,4,1,5
2,0,5,14,7,3,13,8,6,2,7,4
2,0,5,13,5,12,14,13,6,2,2,4
0,1,9,5,8,6,11,6,8,7,0,2
0,9,4,9,11,0,6,0,0,10,0,9
0,1,9,5,8,6,11,6,8,7,0,2
10,5,4,9,11,6,11,6,0,10,9,9
0,1,9,5,8,6,11,6,0,7,0,2
12,12,6,8,1,2,10,4,2,6,12,11
12,12,6,11,12,11,10,10,2,12,12,11
1,12,6,11,1,2,10,10,2,6,12,7
8,14,0,12,0,1,2,11,5,1,1,5
2,0,12,2,5,12,9,13,1,3,13,0
0,1,9,5,8,6,11,6,0,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,13,5,12,9,13,1,2,2,4
2,0,5,13,5,12,14,13,1,2,2,4
0,1,9,5,8,6,11,6,0,10,0,2
1,12,6,8,1,11,4,10,2,6,12,11
2,0,5,14,5,3,13,8,6,2,7,4
11,7,10,4,0,1,2,11,5,1,1,5
2,0,5,13,5,12,14,13,1,2,2,4
0,9,4,9,11,0,6,0,0,10,0,2
12,12,6,11,12,11,10,10,2,12,12,11
0,1,4,9,11,0,6,0,0,10,0,2
11,7,10,4,0,1,2,5,5,1,1,5
1,6,6,8,1,2,4,4,12,6,4,7
2,3,12,13,7,3,14,13,1,3,13,0
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,14,7,3,14,8,6,2,7,13
8,14,0,12,0,1,2,11,5,4,1,5
0,1,9,5,8,6,11,6,8,7,0,2
6,3,2,2,13,7,1,2,4,13,13,0
12,12,6,11,12,11,10,10,2,12,12,11
10,5,1,9,6,0,6,0,0,10,9,9
8,14,0,12,0,1,5,5,5,4,1,5
0,9,4,9,11,0,6,0,0,10,0,9
11,7,10,4,10,10,5,5,10,1,1,14
8,14,0,12,0,1,2,5,5,4,1,5
12,12,6,11,12,11,10,10,2,12,12,11
0,1,9,5,8,6,11,6,8,7,0,2
5,4,8,0,2,4,3,1,7,8,6,6
12,12,6,11,12,11,10,10,2,12,12,7
13,2,2,2,13,12,14,13,1,13,10,0
0,1,9,5,8,6,11,6,0,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
0,1,4,9,11,0,0,0,0,10,0,2
0,1,4,9,11,6,11,6,8,7,0,2
2,0,5,14,7,3,13,8,6,2,7,13
2,0,5,14,7,3,13,8,6,2,7,13
12,12,6,11,12,11,10,10,2,12,12,11
11,7,10,4,10,10,5,14,10,1,1,14
1,12,6,8,1,2,4,4,2,6,4,7
11,7,10,4,10,10,5,5,10,1,1,14
11,7,10,4,10,10,5,14,10,1,1,14
11,7,10,4,10,10,5,5,10,1,1,14
2,0,5,13,7,3,13,8,6,2,2,4
11,7,10,4,10,10,5,5,10,1,1,14
2,0,12,2,5,12,9,7,1,3,2,4
1,6,11,8,1,2,10,10,2,6,4,7
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,5,5,10,1,1,14
2,0,5,13,7,3,13,8,6,2,7,4
11,7,10,4,10,10,5,5,10,1,1,14
11,7,10,4,10,10,2,5,5,1,1,5
5,10,3,0,2,4,3,1,7,8,6,8
11,7,10,4,10,10,5,5,10,1,1,14
0,1,9,5,8,6,0,6,0,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
8,14,10,4,0,1,5,5,5,1,1,5
10,5,4,1,6,0,0,0,0,14,3,1
0,1,4,9,6,0,6,0,13,10,0,2
2,0,5,14,7,3,13,8,6,2,7,13
11,7,10,4,10,1,5,5,10,1,1,14
2,0,5,13,5,12,14,13,1,2,2,4
12,12,6,11,1,2,4,4,2,6,12,11
6,3,12,2,5,5,9,7,1,3,13,0
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,11,6,8,7,0,2
8,14,0,4,0,1,2,5,10,1,1,5
2,0,5,13,7,3,14,13,1,2,7,4
0,1,9,5,8,6,11,6,8,7,0,2
12,12,6,11,1,2,10,10,2,6,12,11
11,7,10,4,10,10,5,14,10,1,1,14
2,0,5,14,7,3,13,8,6,2,7,13
2,0,5,14,7,3,13,8,6,2,7,13
11,7,10,4,10,10,5,14,10,1,1,14
2,0,5,14,7,3,13,8,6,2,7,13
11,7,10,4,0,1,5,5,5,1,1,14
2,0,5,13,7,12,14,13,6,2,7,4
2,0,12,13,5,12,14,13,1,3,2,4
2,0,5,14,7,3,13,8,6,2,7,13
0,1,9,5,11,0,0,6,0,10,0,2
12,12,6,11,12,11,10,10,2,12,12,11
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
2,3,12,2,5,5,9,7,1,3,2,4
0,1,9,5,11,6,11,6,0,10,0,2
1,12,6,11,12,11,10,10,2,12,12,11
0,1,9,5,8,6,11,6,8,10,0,2
11,7,10,4,0,1,5,5,10,1,1,5
11,7,10,4,10,10,5,5,10,1,1,5
2,0,12,2,13,12,9,7,1,3,2,4
12,12,6,11,12,2,4,4,2,6,12,11
2,0,5,14,7,3,14,13,6,2,7,13
12,12,6,11,12,11,10,10,2,12,12,11
11,7,10,4,0,1,5,5,5,1,1,5
2,0,5,13,7,3,14,13,6,2,2,13
11,7,10,4,10,10,5,14,10,1,1,14
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,0,6,0,10,0,2
11,7,10,4,0,1,5,5,5,1,1,14
12,12,6,11,12,11,10,10,2,12,12,11
0,1,9,5,8,6,11,6,8,7,0,2
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,10,5,5,10,1,1,14
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,11,6,8,10,0,2
5,10,3,0,2,4,3,1,11,8,6,6
0,9,4,9,11,0,6,0,0,10,9,9
1,6,6,8,1,2,4,4,12,6,4,7
0,1,9,5,8,6,11,6,8,7,0,2
12,12,6,11,12,11,10,10,2,12,12,11
1,12,6,8,1,2,4,4,2,6,4,11
2,0,5,14,7,3,14,13,6,2,2,13
0,1,9,5,8,6,11,6,8,10,0,2
6,3,2,2,5,5,9,7,1,3,2,4
11,7,10,4,10,10,5,14,10,1,1,14
0,1,9,5,8,6,11,6,0,10,0,2
2,0,5,14,5,12,14,13,1,2,7,13
0,1,9,5,8,6,11,6,8,7,0,2
11,7,10,4,10,1,2,5,5,1,1,5
0,1,4,9,11,0,0,6,0,10,0,2
0,1,9,5,8,6,11,6,0,10,0,2
2,0,5,13,7,3,14,13,1,2,7,4
2,0,5,13,5,12,14,13,1,3,2,4
11,7,10,4,10,1,5,5,10,1,1,14
2,0,5,13,5,12,14,13,1,2,2,4
11,7,10,4,0,1,5,5,5,1,1,14
8,14,0,12,0,10,2,5,5,4,11,5
5,10,3,0,2,4,3,1,11,0,6,6
11,7,10,4,10,10,5,14,10,1,1,5
1,6,6,8,1,11,10,10,2,6,4,7
12,6,6,8,1,2,4,4,12,6,4,7
0,1,9,5,8,6,11,6,8,7,0,2
10,9,1,9,11,0,0,0,0,10,3,1
0,1,9,5,8,6,11,6,8,7,0,2
2,0,5,14,7,3,13,8,6,2,7,13
2,0,5,14,7,3,13,8,6,2,7,13
10,5,4,9,8,6,0,6,0,10,0,2
0,1,4,5,8,6,11,6,8,7,0,2
1,12,6,11,1,2,4,4,2,12,12,11
2,0,12,13,5,12,14,13,1,2,2,4
12,12,6,11,12,11,10,10,2,12,12,11
5,10,3,0,2,4,3,1,7,8,6,8
2,0,12,2,7,3,14,13,1,3,2,4
2,0,5,13,7,3,9,7,1,3,2,4
1,12,6,11,1,11,10,10,2,6,12,11
12,12,6,11,12,11,10,10,2,12,12,11
12,12,6,11,12,11,10,10,2,6,12,11
5,4,3,0,2,4,3,1,11,0,6,8
1,6,11,8,1,11,10,10,2,12,12,11
2,0,5,13,5,12,9,13,1,2,7,4
12,12,6,8,1,2,4,4,2,6,4,11
1,12,6,8,1,2,4,4,12,6,4,7
12,12,6,8,1,11,4,10,2,6,12,11
2,0,12,13,5,12,14,13,1,3,2,4
1,6,6,8,1,2,4,4,12,6,4,7
2,0,5,14,7,3,13,8,6,2,7,13
12,12,6,11,12,11,10,10,2,12,12,11
2,0,12,13,5,5,9,7,1,3,2,4
2,0,12,13,5,12,9,7,1,3,2,4
2,0,5,14,7,3,14,13,6,2,7,13
2,0,5,13,7,3,14,13,6,2,2,4
5,10,3,0,2,4,3,1,7,0,6,6
1,6,11,8,1,2,10,10,2,6,4,7
6,3,2,13,7,3,13,8,6,2,2,4
6,3,12,13,7,3,13,8,6,2,7,4
1,12,6,8,1,2,4,10,2,6,4,7
12,12,6,11,12,11,10,10,2,12,12,11
5,4,8,0,2,4,3,1,11,0,6,6
2,0,5,13,7,3,13,8,6,2,7,13
2,0,5,13,5,3,14,13,1,2,2,4
2,0,5,13,5,12,14,7,1,3,2,4
2,0,12,2,5,5,1,7,1,3,2,4
2,0,5,14,7,3,13,8,6,2,7,13
2,0,12,13,5,12,14,13,1,2,2,4
12,12,6,11,12,11,10,10,2,12,12,11
1,6,6,8,1,2,4,4,12,6,4,7
2,3,12,2,5,5,9,7,1,3,13,0
2,0,5,13,5,12,9,13,1,3,2,4
1,6,6,8,1,2,10,4,2,6,4,7
2,0,5,14,7,3,13,8,6,2,7,13
1,6,6,8,1,2,4,4,12,6,4,7
2,0,12,13,5,12,9,7,1,3,2,4
5,4,3,0,2,9,7,1,11,0,6,6
2,0,5,13,5,12,14,8,1,3,2,4
5,10,3,0,2,4,3,12,7,8,6,8
12,12,6,11,12,11,10,10,2,6,12,11
5,4,3,0,2,4,3,1,11,0,6,6
2,0,5,14,7,3,13,8,6,2,7,13
